Langdistanz - 'Swim' |..T1...|..Bike..|Lunch|..T2...|..Run...|| Total(brutto)
--------------------------------------------------------------------------------
1. LD (09.05.) 1:14h | 29m | 5:46h | 37m | 25m | 4:12h || 12:46h
2. LD (10.05.) 1:12h | 35m | 6:07h | 41m | 26m | 4:45h || 13:56h
3. LD (11.05.) 1:17h | 32m | 6:12h | 43m | 24m | 4:36h || 13:52h
4. LD (12.05.) 1:18h | 34m | 6:20h | 45m | 19m | 5:12h || 14:34h
5. LD (13.05.) 1:20h | 31m | 6:34h | 39m | 17m | 4:55h || 14:21h
6. LD (14.05.) 1:19h | 31m | 6:31h | 41m | 18m | 4:44h || 14:12h
7. LD (15.05.) 1:15h | 33m | 6:21h | 38m | 29m | 4:43h || 14:05h
8. LD (16.05.) 1:16h | 37m | 6:22h | 42m | 23m | 4:55h || 14:20h
9. LD (17.05.) 1:17h | 35m | 6:40h | 32m | 26m | 4:46h || 14:22h
10.LD(18.05.) 1:14h | 33m | 6:46h | 40m | 20m | 4:25h || 14:05h
----------------------------------------------------------------------------
11.LD(19.05.) 1:16h | 29m | 6:10h | 41m | 20m | 4:29h || 13:41h
12.LD(20.05.) 1:15h | 28m | 6:12h | 34m | 26m | 4:51h || 13:42h
13.LD(21.05.) 1:15h | 35m | 6:43h | 53m | 26m | 5:05h || 15:00h
14.LD(22.05.) 1:17h | 34m | 6:39h | 77m | 22m | 5:02h || 15:16h
15.LD(23.05.) 1:16h | 26m | 6:22h | 44m | 22m | 4:53h || 14:09h
16.LD(24.05.) 1:15h | 32m | 6:30h | 38m | 26m | 4:55h || 14:21h
17.LD(25.05.) 1:13h | 32m | 6:13h | 45m | 26m | 4:45h || 13:59h
18.LD(26.05.) 1:13h | 26m | 6:17h | 61m | 23m | 4:45h || 14:34h
19.LD(27.05.) 1:16h | 33m | 6:20h | 47m | 34m | 4:45h || 14:20h
20.LD(28.05.) 1:16h | 41m | 6:37h | 49m | 24m | 5:01h || 14:51h
----------------------------------------------------------------------------
21.LD(29.05.) 1:18h | 27m | 6:26h | 37m | 25m | 4:52h || 14:19h
22.LD(30.05.) 1:10h | 39m | 6:32h | 41m | 20m | 4:53h || 14:24h
23.LD(31.05.) 1:14h | 28m | 6:59h | 49m | 25m | 5:02h || 15:02h
24.LD(01.06.) 1:21h | 44m | 6:54h | 52m | 22m | 5:05h || 15:23h
25.LD(02.06.) 1:10h | 33m | 6:41h | 48m | 23m | 4:43h || 14:32h
26.LD(03.06.) 1:15h | 31m | 6:25h | 55m | 25m | 4:58h || 14:36h
27.LD(04.06.) 1:13h | 31m | 6:24h | 60m | 23m | 4:42h || 14:18h
28.LD(05.06.) 1:16h | 34m | 6:23h | 54m | 25m | 4:42h || 14:20h
29.LD(06.06.) 1:17h | 30m | 6:28h | 54m | 26m | 4:44h || 14:28h
30.LD(07.06.) 1:06h | 46m | 5:49h | 50m | 35m | 4:19h || 13:32h
---------------------------------------------------------------------------
31.LD(08.06.) 1:11h | 42m | 6:09h | 54m | 27m | 4:25h || 14:02h
32.LD(09.06.) 1:09h | 44m | 6:06h | 52m | 23m | 4:23h || 13:44h
33.LD(10.06.) 1:16h | 41m | 6:17h | 53m | 26m | 4:29h || 14:17h
34.LD(11.06.) 1:18h | 43m | 6:24h | 58m | 24m | 4:21h || 14:29h
35.LD(12.06.) 1:08h | 41m | 6:27h | 58m | 36m | 4:46h || 14:56h
36.LD(13.06.) 1:11h | 37m | 6:30h | 58m | 28m | 4:43h || 14:43h
37.LD(14.06.) 1:07h | 43m | 6:24h | 64m | 27m | 4:32h || 14:22h
38.LD(15.06.) 1:14h | 46m | 6:21h | 59m | 20m | 4:36h || 14:26h
39.LD(16.06.) 1:14h | 39m | 6:27h | 62m | 24m | 4:32h || 14:31h
40.LD(17.06.) 1:12h | 43m | 6:30h | 55m | 20m | 4:33h || 14:33h
---------------------------------------------------------------------------
41.LD(18.06.) 1:09h | 27m | 6:13h | 61m | 32m | 4:26h || 14:09h
42.LD(19.06.) 1:13h | 31m | 6:27h | 56m | 30m | 4:35h || 14:23h
43.LD(20.06.) 1:11h | 29m | 6:35h | 65m | 27m | 4:31h || 14:34h
44.LD(21.06.) 1:11h | 29m | 6:38h | 65m | 27m | 4:31h || 14:29h
45.LD(22.06.) 1:15h | 31m | 6:30h | 51m | 29m | 4:27h || 14:11h
46.LD(23.06.) 1:17h | 29m | 6:38h | 60m | 26m | 4:41h || 14:38h
47.LD(24.06.) 1:15h | 31m | 6:36h | 64m | 32m | 4:28h || 14:38h
48.LD(25.06.) 1:11h | 33m | 6:33h | 56m | 33m | 4:35h || 14:33h
49.LD(26.06.) 1:19h | 29m | 6:36h | 58m | 33m | 4:39h || 14:46h
50.LD(27.06.) 1:13h | 41m | 6:35h | 59m | 29m | 4:36h || 14:50h
----------------------------------------------------------------------------
51.LD(28.06.) 1:13h | 29m | 6:29h | 42m | 33m | 4:31h || 14:09h
52.LD(29.06.) 1:14h | 31m | 6:44h | 49m | 25m | 4:35h || 14:28h
53.LD(30.06.) 1:16h | 28m | 6:58h | 70m | 24m | 4:30h || 14:55h
54.LD(01.07.) 1:20h | 29m | 6:50h | 58m | 28m | 4:33h || 14:50h
55.LD(02.07.) 1:18h | 33m | 7:01h | 60m | 41m | 4:18h || 15:00h
56.LD(03.07.) 1:12h | 33m | 6:50h | 58m | 31m | 4:23h || 14:42h
57.LD(04.07.) 1:16h | 29m | 6:47h | 60m | 25m | 4:19h || 14:32h
58.LD(05.07.) 1:11h | 24m | 6:26h | 60m | 46m | 4:36h || 14:29h
59.LD(06.07.) 1:13h | 26m | 6:40h | 72m | 27m | 4:21h || 14:27h
60.LD(07.07.) 1:15h | 15m | 5:56h | 00m | 08m | 4:03h || 11:45h
---------------------------------------------------------------------------
61.LD(08.07.) 1:09h | 34m | 6:33h | 42m | 24m | 4:33h || 13:58h
62.LD(09.07.) 1:13h | 30m | 6:39h | 52m | 31m | 4:25h || 14:16h
63.LD(10.07.) 1:15h | 34m | 6:37h | 51m | 27m | 4:32h || 14:30h
64.LD(11.07.) 1:15h | 31m | 6:50h | 62m | 26m | 4:32h || 14:45h
65.LD(12.07.) 1:11h | 36m | 6:41h | 60m | 29m | 4:42h || 14:51h
66.LD(13.07.) 1:13h | 34m | 6:43h | 60m | 26m | 4:47h || 14:47h
67.LD(14.07.) 1:18h | 36m | 6:53h | 52m | 28m | 4:45h || 15:07h
68.LD(15.07.) 1:15h | 33m | 6:52h | 51m | 32m | 4:42h || 14:58h
69.LD(16.07.) 1:20h | 30m | 6:55h | 59m | 31m | 4:36h || 15:02h
70.LD(17.07.) 1:18h | 35m | 6:46h | 51m | 28m | 4:36h || 14:46h
----------------------------------------------------------------------------
71.LD(18.07.) 1:14h | 39m | 6:41h | 58m | 32m | 4:34h || 14:46h
72.LD(19.07.) 1:16h | 36m | 6:40h | 45m | 28m | 4:35h || 14:30h
73.LD(20.07.) 1:15h | 41m | 6:26h | 57m | 19m | 4:34h || 14:18h
74.LD(21.07.) 1:19h | 32m | 6:45h | 57m | 25m | 4:46h || 14:53h
75.LD(22.07.) 1:13h | 37m | 6:40h | 55m | 35m | 4:41h || 14:46h
76.LD(23.07.) 1:13h | 41m | 6:45h | 49m | 27m | 4:40h || 14:47h
77.LD(24.07.) 1:10h | 36m | 6:52h | 59m | 29m | 4:29h || 14:43h
78.LD(25.07.) 1:12h | 38m | 6:45h | 59m | 26m | 4:43h || 14:49h
79.LD(26.07.) 1:13h | 36m | 6:47h | 51m | 31m | 4:31h || 14:36h
80.LD(27.07.) 1:16h | 33m | 6:44h | 53m | 28m | 4:35h || 14:37h
----------------------------------------------------------------------------
81.LD(28.07.) 1:14h | 31m | 6:47h | 60m | 28m | 4:27h || 14:40h
82.LD(29.07.) 1:13h | 35m | 6:44h | 53m | 35m | 4:34h || 14:51h
83.LD(30.07.) 1:12h | 33m | 6:55h | 56m | 28m | 4:38h || 14:54h
84.LD(31.07.) 1:16h | 34m | 6:47h | 59m | 33m | 4:56h || 15:18h
85.LD(01.08.) 1:15h | 35m | 6:58h | 51m | 25m | 4:43h || 14:53h
86.LD(02.08.) 1:15h | 33m | 6:50h | 53m | 25m | 4:34h || 14:30h
87.LD(03.08.) 1:10h | 34m | 6:41h | 55m | 27m | 4:30h || 14:29h
88.LD(04.08.) 1:11h | 34m | 6:55h | 57m | 28m | 4:32h || 14:54h
89.LD(05.08.) 1:14h | 33m | 6:54h | 54m | 28m | 4:37h || 14:48h
---------------------------------------------------------------------------
90.LD(06.08.) 1:17h | ??m | ?:??h | ??m | ??m | ?:??h || ??:??h
91.LD(07.08.) ?:??h | ??m | ?:??h | ??m | ??m | 4:37h || ??:??h
92.LD(08.08.) 1:13h | 30m | 6:47h | 72m | 08m | 4:37h || 14:41h
93.LD(09.08.) 1:13h | ??m | ?:??h | ??m | ??m | ?:??h || ??:??h
94.LD(10.08.) 1:09h | 26m | 6:51h | 62m | 18m | 4:29h || 14:41h
95.LD(11.08.) 1:10h | 32m | 6:50h | 53m | 31m | 4:43h || 14:41h
96.LD(12.08.) 1:07h | 34m | 6:56h | 50m | 29m | 4:40h || 14:48h
97.LD(13.08.) 1:11h | 31m | 6:40h | 55m | 28m | 4:32h || 14:35h
98.LD(14.08.) 1:11h | 29m | 6:46h | 64m | 27m | 4:44h || 14:48h
